% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 08:50"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,8.255886133883772E-1∠0.000000000000000E0°,8.255886133883772E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,8.803852524432105E-1∠0.000000000000000E0°,8.803852524432105E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,9.573804089648882E-1∠0.000000000000000E0°,9.573804089648882E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,9.984053847613795E-1∠0.000000000000000E0°,9.984053847613795E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,9.882489918524942E-1∠0.000000000000000E0°,9.882489918524942E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,9.525469513822901E-1∠0.000000000000000E0°,9.525469513822901E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,9.164313735860123E-1∠0.000000000000000E0°,9.164313735860123E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,8.916716424129075E-1∠0.000000000000000E0°,8.916716424129075E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,8.818877639513059E-1∠0.000000000000000E0°,8.818877639513059E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,8.873297681044680E-1∠0.000000000000000E0°,8.873297681044680E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,9.070410253749366E-1∠0.000000000000000E0°,9.070410253749366E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,9.380223629972474E-1∠0.000000000000000E0°,9.380223629972474E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,9.728472812483681E-1∠0.000000000000000E0°,9.728472812483681E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,9.972355757413983E-1∠0.000000000000000E0°,9.972355757413983E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,9.939761679859980E-1∠0.000000000000000E0°,9.939761679859980E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,9.582870102138786E-1∠0.000000000000000E0°,9.582870102138786E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,9.074851142459970E-1∠0.000000000000000E0°,9.074851142459970E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,8.654828540152236E-1∠0.000000000000000E0°,8.654828540152236E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,8.455348741383574E-1∠0.000000000000000E0°,8.455348741383574E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,8.492182815966899E-1∠0.000000000000000E0°,8.492182815966899E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,8.723249512705616E-1∠0.000000000000000E0°,8.723249512705616E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,9.079760163653824E-1∠0.000000000000000E0°,9.079760163653824E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,9.473788101921906E-1∠0.000000000000000E0°,9.473788101921906E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,9.805149249425555E-1∠0.000000000000000E0°,9.805149249425555E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,9.983454394824878E-1∠0.000000000000000E0°,9.983454394824878E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,9.964683092352719E-1∠0.000000000000000E0°,9.964683092352719E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,9.769111380097787E-1∠0.000000000000000E0°,9.769111380097787E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,9.464182603325055E-1∠0.000000000000000E0°,9.464182603325055E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,9.129921111137158E-1∠0.000000000000000E0°,9.129921111137158E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,8.832208355726991E-1∠0.000000000000000E0°,8.832208355726991E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,8.616249960566648E-1∠0.000000000000000E0°,8.616249960566648E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,8.509669691558600E-1∠0.000000000000000E0°,8.509669691558600E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,8.528172682088223E-1∠0.000000000000000E0°,8.528172682088223E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,8.676067580000699E-1∠0.000000000000000E0°,8.676067580000699E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,8.940256472259869E-1∠0.000000000000000E0°,8.940256472259869E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,9.279994756093369E-1∠0.000000000000000E0°,9.279994756093369E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,9.622664403778960E-1∠0.000000000000000E0°,9.622664403778960E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
