% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 19 2026, 14:42"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,2.650941698980587E-2∠0.000000000000000E0°,2.650941698980587E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.576459357892261E-2∠0.000000000000000E0°,2.576459357892261E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.502397647957700E-2∠0.000000000000000E0°,2.502397647957700E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.430368932112901E-2∠0.000000000000000E0°,2.430368932112901E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.360574679940426E-2∠0.000000000000000E0°,2.360574679940426E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.293309443702211E-2∠0.000000000000000E0°,2.293309443702211E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.228286139197939E-2∠0.000000000000000E0°,2.228286139197939E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.164812414786651E-2∠0.000000000000000E0°,2.164812414786651E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.105357935456927E-2∠0.000000000000000E0°,2.105357935456927E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.048394019564778E-2∠0.000000000000000E0°,2.048394019564778E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,1.993789180623849E-2∠0.000000000000000E0°,1.993789180623849E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,1.940860221847337E-2∠0.000000000000000E0°,1.940860221847337E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,1.890124459118059E-2∠0.000000000000000E0°,1.890124459118059E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,1.842435944634552E-2∠0.000000000000000E0°,1.842435944634552E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,1.796358974758293E-2∠0.000000000000000E0°,1.796358974758293E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,1.753250819459976E-2∠0.000000000000000E0°,1.753250819459976E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,1.711237334179453E-2∠0.000000000000000E0°,1.711237334179453E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,1.671114625926590E-2∠0.000000000000000E0°,1.671114625926590E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,1.633319717137455E-2∠0.000000000000000E0°,1.633319717137455E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,1.598304976283664E-2∠0.000000000000000E0°,1.598304976283664E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,1.565813663102526E-2∠0.000000000000000E0°,1.565813663102526E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,1.534812010379066E-2∠0.000000000000000E0°,1.534812010379066E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,1.505950055507940E-2∠0.000000000000000E0°,1.505950055507940E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,1.478967472558199E-2∠0.000000000000000E0°,1.478967472558199E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,1.453767997588597E-2∠0.000000000000000E0°,1.453767997588597E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,1.430178723888974E-2∠0.000000000000000E0°,1.430178723888974E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,1.409766839706029E-2∠0.000000000000000E0°,1.409766839706029E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,1.390558088459876E-2∠0.000000000000000E0°,1.390558088459876E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,1.373005747765742E-2∠0.000000000000000E0°,1.373005747765742E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,1.357177357640447E-2∠0.000000000000000E0°,1.357177357640447E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,1.342793926638581E-2∠0.000000000000000E0°,1.342793926638581E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,1.329083762389040E-2∠0.000000000000000E0°,1.329083762389040E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,1.316916983420667E-2∠0.000000000000000E0°,1.316916983420667E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
