% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 22 2026, 17:33"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),theta (rad),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,1.745329251994330E-1,6.662054622222222E2,2.385240805290316E-2∠0.000000000000000E0°,2.385240805290316E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,6.662054622222222E2,2.443727310093271E-1∠0.000000000000000E0°,2.443727310093271E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,6.588845230769230E2,2.333124185227034E-2∠0.000000000000000E0°,2.333124185227034E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.396263401595464E0,6.588845230769230E2,2.444103760834772E-1∠0.000000000000000E0°,2.444103760834772E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,1.745329251994330E-1,6.517227347826087E2,2.284102622832046E-2∠0.000000000000000E0°,2.284102622832046E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,1.396263401595464E0,6.517227347826087E2,2.444947479542687E-1∠0.000000000000000E0°,2.444947479542687E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,1.745329251994330E-1,6.447149634408600E2,2.235897150455489E-2∠0.000000000000000E0°,2.235897150455489E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,1.396263401595464E0,6.447149634408600E2,2.445807962050551E-1∠0.000000000000000E0°,2.445807962050551E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,1.745329251994330E-1,6.378562936170213E2,2.190446760408741E-2∠0.000000000000000E0°,2.190446760408741E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,1.396263401595464E0,6.378562936170213E2,2.444393547835032E-1∠0.000000000000000E0°,2.444393547835032E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,1.745329251994330E-1,6.311420168421052E2,2.148687190109441E-2∠0.000000000000000E0°,2.148687190109441E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,1.396263401595464E0,6.311420168421052E2,2.445273937523022E-1∠0.000000000000000E0°,2.445273937523022E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
