% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 08:54"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.695268705112476E-2∠0.000000000000000E0°,1.695268705112476E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.723140076143562E-2∠0.000000000000000E0°,1.723140076143562E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.751715587441999E-2∠0.000000000000000E0°,1.751715587441999E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.781023688020186E-2∠0.000000000000000E0°,1.781023688020186E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.809258767491899E-2∠0.000000000000000E0°,1.809258767491899E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,1.838597393779925E-2∠0.000000000000000E0°,1.838597393779925E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.866675139786498E-2∠0.000000000000000E0°,1.866675139786498E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,1.894036940470272E-2∠0.000000000000000E0°,1.894036940470272E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.921619316956294E-2∠0.000000000000000E0°,1.921619316956294E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,1.947970465973373E-2∠0.000000000000000E0°,1.947970465973373E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,1.974939855996427E-2∠0.000000000000000E0°,1.974939855996427E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,1.999595902235855E-2∠0.000000000000000E0°,1.999595902235855E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.025971563215367E-2∠0.000000000000000E0°,2.025971563215367E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.051016590795105E-2∠0.000000000000000E0°,2.051016590795105E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.076428459349486E-2∠0.000000000000000E0°,2.076428459349486E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.101652801523820E-2∠0.000000000000000E0°,2.101652801523820E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.126197633738131E-2∠0.000000000000000E0°,2.126197633738131E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.151115213956859E-2∠0.000000000000000E0°,2.151115213956859E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
