% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 19 2026, 14:40"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,2.453323118696302E-1∠0.000000000000000E0°,2.453323118696302E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.453899645238573E-1∠0.000000000000000E0°,2.453899645238573E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.453987734241782E-1∠0.000000000000000E0°,2.453987734241782E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.454679632512253E-1∠0.000000000000000E0°,2.454679632512253E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.454119438610767E-1∠0.000000000000000E0°,2.454119438610767E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.454264384024719E-1∠0.000000000000000E0°,2.454264384024719E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.455003200296242E-1∠0.000000000000000E0°,2.455003200296242E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.455198092072099E-1∠0.000000000000000E0°,2.455198092072099E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.455217462179768E-1∠0.000000000000000E0°,2.455217462179768E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.454505691018132E-1∠0.000000000000000E0°,2.454505691018132E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
