% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 20 2026, 14:00"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,4.871588600364608E-1∠0.000000000000000E0°,4.871588600364608E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,4.883275776288975E-1∠0.000000000000000E0°,4.883275776288975E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,4.895380885861292E-1∠0.000000000000000E0°,4.895380885861292E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,4.907272191251321E-1∠0.000000000000000E0°,4.907272191251321E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,4.916252205936240E-1∠0.000000000000000E0°,4.916252205936240E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,4.927291724132553E-1∠0.000000000000000E0°,4.927291724132553E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,4.939332479090094E-1∠0.000000000000000E0°,4.939332479090094E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,4.950278535308242E-1∠0.000000000000000E0°,4.950278535308242E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,4.960413816711521E-1∠0.000000000000000E0°,4.960413816711521E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,4.968706415024370E-1∠0.000000000000000E0°,4.968706415024370E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,4.977772633995186E-1∠0.000000000000000E0°,4.977772633995186E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,4.987034368448157E-1∠0.000000000000000E0°,4.987034368448157E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,4.996386335654323E-1∠0.000000000000000E0°,4.996386335654323E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,5.006282502470544E-1∠0.000000000000000E0°,5.006282502470544E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,5.014717082715439E-1∠0.000000000000000E0°,5.014717082715439E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,5.022578170043994E-1∠0.000000000000000E0°,5.022578170043994E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,5.029568060762191E-1∠0.000000000000000E0°,5.029568060762191E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,5.038862594439875E-1∠0.000000000000000E0°,5.038862594439875E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,5.046675236431759E-1∠0.000000000000000E0°,5.046675236431759E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,5.053846691924819E-1∠0.000000000000000E0°,5.053846691924819E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,5.062351650170538E-1∠0.000000000000000E0°,5.062351650170538E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,5.069068421686991E-1∠0.000000000000000E0°,5.069068421686991E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,5.076399321632656E-1∠0.000000000000000E0°,5.076399321632656E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,5.082392747733704E-1∠0.000000000000000E0°,5.082392747733704E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,5.088069805175899E-1∠0.000000000000000E0°,5.088069805175899E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,5.095830866186648E-1∠0.000000000000000E0°,5.095830866186648E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,5.102104108721506E-1∠0.000000000000000E0°,5.102104108721506E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,5.109399875037712E-1∠0.000000000000000E0°,5.109399875037712E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,5.114498830073781E-1∠0.000000000000000E0°,5.114498830073781E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,5.121115154808754E-1∠0.000000000000000E0°,5.121115154808754E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,5.125793240687144E-1∠0.000000000000000E0°,5.125793240687144E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,5.131003123957123E-1∠0.000000000000000E0°,5.131003123957123E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,5.136714520457774E-1∠0.000000000000000E0°,5.136714520457774E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,5.143878518655559E-1∠0.000000000000000E0°,5.143878518655559E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,5.148649333099871E-1∠0.000000000000000E0°,5.148649333099871E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,5.153883916571743E-1∠0.000000000000000E0°,5.153883916571743E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,5.159633154896105E-1∠0.000000000000000E0°,5.159633154896105E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,5.163590437305717E-1∠0.000000000000000E0°,5.163590437305717E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,5.167561943354927E-1∠0.000000000000000E0°,5.167561943354927E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,5.172117742501715E-1∠0.000000000000000E0°,5.172117742501715E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,5.176565891183624E-1∠0.000000000000000E0°,5.176565891183624E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,5.180271438144209E-1∠0.000000000000000E0°,5.180271438144209E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,5.184848762593727E-1∠0.000000000000000E0°,5.184848762593727E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,5.189799826587473E-1∠0.000000000000000E0°,5.189799826587473E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,5.195484104509561E-1∠0.000000000000000E0°,5.195484104509561E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,5.199945671029228E-1∠0.000000000000000E0°,5.199945671029228E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,5.203609028113533E-1∠0.000000000000000E0°,5.203609028113533E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,5.206935004025293E-1∠0.000000000000000E0°,5.206935004025293E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,5.211740335593219E-1∠0.000000000000000E0°,5.211740335593219E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,5.214594814203993E-1∠0.000000000000000E0°,5.214594814203993E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,5.217132480763432E-1∠0.000000000000000E0°,5.217132480763432E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,5.221377987257096E-1∠0.000000000000000E0°,5.221377987257096E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,5.224141364402889E-1∠0.000000000000000E0°,5.224141364402889E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,5.228759613468975E-1∠0.000000000000000E0°,5.228759613468975E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,5.231643879709831E-1∠0.000000000000000E0°,5.231643879709831E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,5.234520643882975E-1∠0.000000000000000E0°,5.234520643882975E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,5.238278082889791E-1∠0.000000000000000E0°,5.238278082889791E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,5.243925002507894E-1∠0.000000000000000E0°,5.243925002507894E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,5.247183306039792E-1∠0.000000000000000E0°,5.247183306039792E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
