% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 20 2026, 14:16"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.427829342461688E-1∠0.000000000000000E0°,1.427829342461688E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.002552401358875E-1∠0.000000000000000E0°,1.002552401358875E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,8.473025544845998E-2∠0.000000000000000E0°,8.473025544845998E-2∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.135240840141812E-1∠0.000000000000000E0°,1.135240840141812E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.081046437406579E-1∠0.000000000000000E0°,2.081046437406579E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,3.768421812625944E-1∠0.000000000000000E0°,3.768421812625944E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,5.926248744216195E-1∠0.000000000000000E0°,5.926248744216195E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,7.941536244898352E-1∠0.000000000000000E0°,7.941536244898352E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,9.295100336346191E-1∠0.000000000000000E0°,9.295100336346191E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,9.907676115466826E-1∠0.000000000000000E0°,9.907676115466826E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,9.978556575090556E-1∠0.000000000000000E0°,9.978556575090556E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,9.734169437366540E-1∠0.000000000000000E0°,9.734169437366540E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,9.334246396962849E-1∠0.000000000000000E0°,9.334246396962849E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,8.869969046267550E-1∠0.000000000000000E0°,8.869969046267550E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,8.382321497212565E-1∠0.000000000000000E0°,8.382321497212565E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,7.890608591140276E-1∠0.000000000000000E0°,7.890608591140276E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,7.408759265296982E-1∠0.000000000000000E0°,7.408759265296982E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,6.932058398136970E-1∠0.000000000000000E0°,6.932058398136970E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,6.439151157200578E-1∠0.000000000000000E0°,6.439151157200578E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,5.934193196288212E-1∠0.000000000000000E0°,5.934193196288212E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,5.414519491977434E-1∠0.000000000000000E0°,5.414519491977434E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,4.867565651905096E-1∠0.000000000000000E0°,4.867565651905096E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,4.298686677133976E-1∠0.000000000000000E0°,4.298686677133976E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,3.719329165019749E-1∠0.000000000000000E0°,3.719329165019749E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,3.127939934203761E-1∠0.000000000000000E0°,3.127939934203761E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.578132492984865E-1∠0.000000000000000E0°,2.578132492984865E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.108244872405463E-1∠0.000000000000000E0°,2.108244872405463E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,1.809165998599468E-1∠0.000000000000000E0°,1.809165998599468E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,1.767591192898332E-1∠0.000000000000000E0°,1.767591192898332E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.048868884872619E-1∠0.000000000000000E0°,2.048868884872619E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.659930694602089E-1∠0.000000000000000E0°,2.659930694602089E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,3.526352876130213E-1∠0.000000000000000E0°,3.526352876130213E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,4.508699076475772E-1∠0.000000000000000E0°,4.508699076475772E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,5.490408819413112E-1∠0.000000000000000E0°,5.490408819413112E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,6.400230643848674E-1∠0.000000000000000E0°,6.400230643848674E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,7.179884969953896E-1∠0.000000000000000E0°,7.179884969953896E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,7.818028888992878E-1∠0.000000000000000E0°,7.818028888992878E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,8.335391277802979E-1∠0.000000000000000E0°,8.335391277802979E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,8.742359308194709E-1∠0.000000000000000E0°,8.742359308194709E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,9.059354366833297E-1∠0.000000000000000E0°,9.059354366833297E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,9.305943014276344E-1∠0.000000000000000E0°,9.305943014276344E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,9.497904530378654E-1∠0.000000000000000E0°,9.497904530378654E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,9.640905026433062E-1∠0.000000000000000E0°,9.640905026433062E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,9.755027404192189E-1∠0.000000000000000E0°,9.755027404192189E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,9.839290087190354E-1∠0.000000000000000E0°,9.839290087190354E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,9.904636055822180E-1∠0.000000000000000E0°,9.904636055822180E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,9.951657398897407E-1∠0.000000000000000E0°,9.951657398897407E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,9.982308110343623E-1∠0.000000000000000E0°,9.982308110343623E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,9.997633220956600E-1∠0.000000000000000E0°,9.997633220956600E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,9.998649454500267E-1∠0.000000000000000E0°,9.998649454500267E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,9.984935474151678E-1∠0.000000000000000E0°,9.984935474151678E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,9.956032705571547E-1∠0.000000000000000E0°,9.956032705571547E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,9.909977596150993E-1∠0.000000000000000E0°,9.909977596150993E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,9.848595133962700E-1∠0.000000000000000E0°,9.848595133962700E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,9.762251964888194E-1∠0.000000000000000E0°,9.762251964888194E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,9.650389045268972E-1∠0.000000000000000E0°,9.650389045268972E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,9.511891270947326E-1∠0.000000000000000E0°,9.511891270947326E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,9.338953704107951E-1∠0.000000000000000E0°,9.338953704107951E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,9.122448219650403E-1∠0.000000000000000E0°,9.122448219650403E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.450000000000000E-7,4.024059838926175E2,8.858049868381345E-1∠0.000000000000000E0°,8.858049868381345E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,8.539929175920727E-1∠0.000000000000000E0°,8.539929175920727E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
