% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 09:29"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,1.258346200331478E-2∠0.000000000000000E0°,1.258346200331478E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,1.223054044602605E-2∠0.000000000000000E0°,1.223054044602605E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,1.191237678420015E-2∠0.000000000000000E0°,1.191237678420015E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,1.162335262449164E-2∠0.000000000000000E0°,1.162335262449164E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,1.136669585376296E-2∠0.000000000000000E0°,1.136669585376296E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,1.113164281788800E-2∠0.000000000000000E0°,1.113164281788800E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,1.092358759646919E-2∠0.000000000000000E0°,1.092358759646919E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,1.073516029679556E-2∠0.000000000000000E0°,1.073516029679556E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,1.057376362772126E-2∠0.000000000000000E0°,1.057376362772126E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,1.043130712055562E-2∠0.000000000000000E0°,1.043130712055562E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
