% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 20 2026, 18:54"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.757496888962910E-2∠0.000000000000000E0°,1.757496888962910E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.785771255630373E-2∠0.000000000000000E0°,1.785771255630373E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.815183726488673E-2∠0.000000000000000E0°,1.815183726488673E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.845334229193891E-2∠0.000000000000000E0°,1.845334229193891E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.874538045771550E-2∠0.000000000000000E0°,1.874538045771550E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,1.905165856449943E-2∠0.000000000000000E0°,1.905165856449943E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.934500753855327E-2∠0.000000000000000E0°,1.934500753855327E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,1.963003488212569E-2∠0.000000000000000E0°,1.963003488212569E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.991976323528241E-2∠0.000000000000000E0°,1.991976323528241E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.019421024536669E-2∠0.000000000000000E0°,2.019421024536669E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,2.047698792279496E-2∠0.000000000000000E0°,2.047698792279496E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,2.073230017713103E-2∠0.000000000000000E0°,2.073230017713103E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.100642826647260E-2∠0.000000000000000E0°,2.100642826647260E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.126519719726551E-2∠0.000000000000000E0°,2.126519719726551E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.152883074433789E-2∠0.000000000000000E0°,2.152883074433789E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.178969786396795E-2∠0.000000000000000E0°,2.178969786396795E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.204359966568639E-2∠0.000000000000000E0°,2.204359966568639E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.230048514151869E-2∠0.000000000000000E0°,2.230048514151869E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.255449241274932E-2∠0.000000000000000E0°,2.255449241274932E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,2.280651068573474E-2∠0.000000000000000E0°,2.280651068573474E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.305693926530938E-2∠0.000000000000000E0°,2.305693926530938E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.330666703139891E-2∠0.000000000000000E0°,2.330666703139891E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.355137364881321E-2∠0.000000000000000E0°,2.355137364881321E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.378820689441202E-2∠0.000000000000000E0°,2.378820689441202E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.402649137992831E-2∠0.000000000000000E0°,2.402649137992831E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.425634324985349E-2∠0.000000000000000E0°,2.425634324985349E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.449259505453595E-2∠0.000000000000000E0°,2.449259505453595E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.472274004231587E-2∠0.000000000000000E0°,2.472274004231587E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.493872257782571E-2∠0.000000000000000E0°,2.493872257782571E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.516315642718032E-2∠0.000000000000000E0°,2.516315642718032E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.537077121147160E-2∠0.000000000000000E0°,2.537077121147160E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.558266121346217E-2∠0.000000000000000E0°,2.558266121346217E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.578260398292817E-2∠0.000000000000000E0°,2.578260398292817E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,2.599350972764405E-2∠0.000000000000000E0°,2.599350972764405E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.619989212228439E-2∠0.000000000000000E0°,2.619989212228439E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.640310412844963E-2∠0.000000000000000E0°,2.640310412844963E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
