% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:13"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,2.445780247217318E-1∠0.000000000000000E0°,2.445780247217318E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,2.446045487909702E-1∠0.000000000000000E0°,2.446045487909702E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,2.445869496446375E-1∠0.000000000000000E0°,2.445869496446375E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,2.445846723981059E-1∠0.000000000000000E0°,2.445846723981059E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,2.444635624774360E-1∠0.000000000000000E0°,2.444635624774360E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,2.444710394967430E-1∠0.000000000000000E0°,2.444710394967430E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,2.444111200475637E-1∠0.000000000000000E0°,2.444111200475637E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,2.443836365893313E-1∠0.000000000000000E0°,2.443836365893313E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,2.442618500723428E-1∠0.000000000000000E0°,2.442618500723428E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,2.442613012768666E-1∠0.000000000000000E0°,2.442613012768666E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
