% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 22 2026, 17:27"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),theta (rad),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,1.745329251994330E-1,6.662054622222222E2,2.055301989628692E-2∠0.000000000000000E0°,2.055301989628692E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,6.662054622222222E2,2.431566747256656E-1∠0.000000000000000E0°,2.431566747256656E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,6.588845230769230E2,2.033542283684270E-2∠0.000000000000000E0°,2.033542283684270E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.396263401595464E0,6.588845230769230E2,2.431208701475467E-1∠0.000000000000000E0°,2.431208701475467E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,1.745329251994330E-1,6.517227347826087E2,2.015088311070497E-2∠0.000000000000000E0°,2.015088311070497E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,1.396263401595464E0,6.517227347826087E2,2.431021924385683E-1∠0.000000000000000E0°,2.431021924385683E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,1.745329251994330E-1,6.447149634408600E2,1.997769229742566E-2∠0.000000000000000E0°,1.997769229742566E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,1.396263401595464E0,6.447149634408600E2,2.430824760057344E-1∠0.000000000000000E0°,2.430824760057344E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,1.745329251994330E-1,6.378562936170213E2,1.983351854640924E-2∠0.000000000000000E0°,1.983351854640924E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,1.396263401595464E0,6.378562936170213E2,2.429652740585736E-1∠0.000000000000000E0°,2.429652740585736E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,1.745329251994330E-1,6.311420168421052E2,1.971425561368250E-2∠0.000000000000000E0°,1.971425561368250E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,1.396263401595464E0,6.311420168421052E2,2.429891142236925E-1∠0.000000000000000E0°,2.429891142236925E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,1.745329251994330E-1,6.245676208333332E2,1.961002809352475E-2∠0.000000000000000E0°,1.961002809352475E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,1.396263401595464E0,6.245676208333332E2,2.429794931146793E-1∠0.000000000000000E0°,2.429794931146793E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,1.745329251994330E-1,6.181287793814432E2,1.951889226724101E-2∠0.000000000000000E0°,1.951889226724101E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,1.396263401595464E0,6.181287793814432E2,2.429056138263411E-1∠0.000000000000000E0°,2.429056138263411E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,1.745329251994330E-1,6.118213428571429E2,1.944250488525752E-2∠0.000000000000000E0°,1.944250488525752E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,1.396263401595464E0,6.118213428571429E2,2.429036021040020E-1∠0.000000000000000E0°,2.429036021040020E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,1.745329251994330E-1,6.056413292929291E2,1.937975594625445E-2∠0.000000000000000E0°,1.937975594625445E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,1.396263401595464E0,6.056413292929291E2,2.428007070949314E-1∠0.000000000000000E0°,2.428007070949314E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,1.745329251994330E-1,5.995849160000000E2,1.932259844433606E-2∠0.000000000000000E0°,1.932259844433606E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,1.396263401595464E0,5.995849160000000E2,2.427236415396548E-1∠0.000000000000000E0°,2.427236415396548E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
