% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 23 2026, 09:51"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),theta (rad),d,n1_B,freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,0.000000000000000E0,6.662054622222222E2,1.674869403744127E-2∠0.000000000000000E0°,1.674869403744127E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,1.000000000000000E-3,6.662054622222222E2,1.672672560860231E-2∠0.000000000000000E0°,1.672672560860231E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,2.000000000000000E-3,6.662054622222222E2,1.688394363585506E-2∠0.000000000000000E0°,1.688394363585506E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,3.000000000000000E-3,6.662054622222222E2,1.717087087046944E-2∠0.000000000000000E0°,1.717087087046944E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,4.000000000000000E-3,6.662054622222222E2,1.755593393388190E-2∠0.000000000000000E0°,1.755593393388190E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,5.000000000000000E-3,6.662054622222222E2,1.801801914284507E-2∠0.000000000000000E0°,1.801801914284507E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,6.000000000000000E-3,6.662054622222222E2,1.854243877911368E-2∠0.000000000000000E0°,1.854243877911368E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,6.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,7.000000000000000E-3,6.662054622222222E2,1.911862132568778E-2∠0.000000000000000E0°,1.911862132568778E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,7.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,8.000000000000000E-3,6.662054622222222E2,1.973872660346503E-2∠0.000000000000000E0°,1.973872660346503E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,8.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,9.000000000000001E-3,6.662054622222222E2,2.039678250885069E-2∠0.000000000000000E0°,2.039678250885069E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,9.000000000000001E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,1.000000000000000E-2,6.662054622222222E2,2.108812868385215E-2∠0.000000000000000E0°,2.108812868385215E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,0.000000000000000E0,6.662054622222222E2,3.593642481514332E-2∠0.000000000000000E0°,3.593642481514332E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,1.000000000000000E-3,6.662054622222222E2,4.012058890577622E-2∠0.000000000000000E0°,4.012058890577622E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,2.000000000000000E-3,6.662054622222222E2,4.508067772308764E-2∠0.000000000000000E0°,4.508067772308764E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,3.000000000000000E-3,6.662054622222222E2,5.104207983282875E-2∠0.000000000000000E0°,5.104207983282875E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,4.000000000000000E-3,6.662054622222222E2,5.831399564106329E-2∠0.000000000000000E0°,5.831399564106329E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,5.000000000000000E-3,6.662054622222222E2,6.732729808467448E-2∠0.000000000000000E0°,6.732729808467448E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,6.000000000000000E-3,6.662054622222222E2,7.869265131685668E-2∠0.000000000000000E0°,7.869265131685668E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,6.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,7.000000000000000E-3,6.662054622222222E2,9.329114770248920E-2∠0.000000000000000E0°,9.329114770248920E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,7.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,8.000000000000000E-3,6.662054622222222E2,1.124174722194900E-1∠0.000000000000000E0°,1.124174722194900E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,8.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,9.000000000000001E-3,6.662054622222222E2,1.380072605370343E-1∠0.000000000000000E0°,1.380072605370343E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,9.000000000000001E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.745329251994330E-1,1.000000000000000E-7,1.000000000000000E-2,6.662054622222222E2,1.729940548923453E-1∠0.000000000000000E0°,1.729940548923453E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,0.000000000000000E0,6.662054622222222E2,8.768330590249344E-1∠0.000000000000000E0°,8.768330590249344E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,1.000000000000000E-3,6.662054622222222E2,9.117100204800865E-1∠0.000000000000000E0°,9.117100204800865E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,2.000000000000000E-3,6.662054622222222E2,9.407204173730673E-1∠0.000000000000000E0°,9.407204173730673E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,3.000000000000000E-3,6.662054622222222E2,9.637053915276785E-1∠0.000000000000000E0°,9.637053915276785E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,4.000000000000000E-3,6.662054622222222E2,9.807545229731863E-1∠0.000000000000000E0°,9.807545229731863E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,5.000000000000000E-3,6.662054622222222E2,9.921638638857254E-1∠0.000000000000000E0°,9.921638638857254E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,6.000000000000000E-3,6.662054622222222E2,9.983836309797400E-1∠0.000000000000000E0°,9.983836309797400E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,6.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,7.000000000000000E-3,6.662054622222222E2,9.999639939617564E-1∠0.000000000000000E0°,9.999639939617564E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,7.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,8.000000000000000E-3,6.662054622222222E2,9.975054424738551E-1∠0.000000000000000E0°,9.975054424738551E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,8.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,9.000000000000001E-3,6.662054622222222E2,9.916176893552989E-1∠0.000000000000000E0°,9.916176893552989E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,9.000000000000001E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,8.000000000000000E-8,1.000000000000000E-2,6.662054622222222E2,9.828887050835876E-1∠0.000000000000000E0°,9.828887050835876E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,0.000000000000000E0,6.662054622222222E2,7.649327245573315E-1∠0.000000000000000E0°,7.649327245573315E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
