% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 16:49"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,2.438616573530385E-1∠0.000000000000000E0°,2.438616573530385E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,2.438166352936654E-1∠0.000000000000000E0°,2.438166352936654E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,2.437748349552900E-1∠0.000000000000000E0°,2.437748349552900E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,2.437127329646066E-1∠0.000000000000000E0°,2.437127329646066E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,2.435881047893007E-1∠0.000000000000000E0°,2.435881047893007E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,2.435954464065594E-1∠0.000000000000000E0°,2.435954464065594E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,2.435029450752914E-1∠0.000000000000000E0°,2.435029450752914E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,2.434544281112930E-1∠0.000000000000000E0°,2.434544281112930E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,2.433132587875495E-1∠0.000000000000000E0°,2.433132587875495E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,2.433294602201440E-1∠0.000000000000000E0°,2.433294602201440E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.500000000000000E-7,6.662054622222222E2,2.432568279138742E-1∠0.000000000000000E0°,2.432568279138742E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.432283118914247E-1∠0.000000000000000E0°,2.432283118914247E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.431163415804069E-1∠0.000000000000000E0°,2.431163415804069E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.431573142153450E-1∠0.000000000000000E0°,2.431573142153450E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
