% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 19:55"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),theta (rad),n1_B,freq (THz),反射率，端口 1 (1),总反射率 (1),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,1.000000000000000E1,0.000000000000000E0,6.662054622222222E2,2.007362589652076E-1∠0.000000000000000E0°,2.007362589652076E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.000000000000000E1,1.000000000000000E-3,6.662054622222222E2,1.998953498591913E-1∠0.000000000000000E0°,1.998953498591913E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.000000000000000E1,2.000000000000000E-3,6.662054622222222E2,1.990707333114400E-1∠0.000000000000000E0°,1.990707333114400E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.000000000000000E1,3.000000000000000E-3,6.662054622222222E2,1.982687720835864E-1∠0.000000000000000E0°,1.982687720835864E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.000000000000000E1,4.000000000000000E-3,6.662054622222222E2,1.974886127745490E-1∠0.000000000000000E0°,1.974886127745490E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.000000000000000E1,5.000000000000000E-3,6.662054622222222E2,1.967282050084976E-1∠0.000000000000000E0°,1.967282050084976E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,8.000000000000000E1,0.000000000000000E0,6.662054622222222E2,2.376082404894560E0∠0.000000000000000E0°,2.376082404894560E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,8.000000000000000E1,1.000000000000000E-3,6.662054622222222E2,2.375245409996301E0∠0.000000000000000E0°,2.375245409996301E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,8.000000000000000E1,2.000000000000000E-3,6.662054622222222E2,2.374995664482198E0∠0.000000000000000E0°,2.374995664482198E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,8.000000000000000E1,3.000000000000000E-3,6.662054622222222E2,2.373661113665536E0∠0.000000000000000E0°,2.373661113665536E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
