% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 08:52"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.864312876493447E-2∠0.000000000000000E0°,1.864312876493447E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.894431790374365E-2∠0.000000000000000E0°,1.894431790374365E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.925294117376408E-2∠0.000000000000000E0°,1.925294117376408E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.956849676320153E-2∠0.000000000000000E0°,1.956849676320153E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.987347850491371E-2∠0.000000000000000E0°,1.987347850491371E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.018929141315258E-2∠0.000000000000000E0°,2.018929141315258E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.049137187840660E-2∠0.000000000000000E0°,2.049137187840660E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.078613639867637E-2∠0.000000000000000E0°,2.078613639867637E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.108100062260064E-2∠0.000000000000000E0°,2.108100062260064E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.136402197547681E-2∠0.000000000000000E0°,2.136402197547681E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,2.165413628345045E-2∠0.000000000000000E0°,2.165413628345045E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,2.191737551388912E-2∠0.000000000000000E0°,2.191737551388912E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.220274629811668E-2∠0.000000000000000E0°,2.220274629811668E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.247023750205356E-2∠0.000000000000000E0°,2.247023750205356E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.274292996542624E-2∠0.000000000000000E0°,2.274292996542624E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.301238804830199E-2∠0.000000000000000E0°,2.301238804830199E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.327753818807212E-2∠0.000000000000000E0°,2.327753818807212E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.354666716033591E-2∠0.000000000000000E0°,2.354666716033591E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.380834787630946E-2∠0.000000000000000E0°,2.380834787630946E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,2.407065963706329E-2∠0.000000000000000E0°,2.407065963706329E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.433148937762911E-2∠0.000000000000000E0°,2.433148937762911E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.458945818517025E-2∠0.000000000000000E0°,2.458945818517025E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.484315032529601E-2∠0.000000000000000E0°,2.484315032529601E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.508605887095612E-2∠0.000000000000000E0°,2.508605887095612E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.533310931875369E-2∠0.000000000000000E0°,2.533310931875369E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.557056325630256E-2∠0.000000000000000E0°,2.557056325630256E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.581502394003135E-2∠0.000000000000000E0°,2.581502394003135E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.605116810353575E-2∠0.000000000000000E0°,2.605116810353575E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.627261784493347E-2∠0.000000000000000E0°,2.627261784493347E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.650374322795601E-2∠0.000000000000000E0°,2.650374322795601E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.671780027498914E-2∠0.000000000000000E0°,2.671780027498914E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.693540202420607E-2∠0.000000000000000E0°,2.693540202420607E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.714532906022430E-2∠0.000000000000000E0°,2.714532906022430E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,2.736353200010053E-2∠0.000000000000000E0°,2.736353200010053E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.757395952743287E-2∠0.000000000000000E0°,2.757395952743287E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.778253783590007E-2∠0.000000000000000E0°,2.778253783590007E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,2.798742870325367E-2∠0.000000000000000E0°,2.798742870325367E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,2.818536025877088E-2∠0.000000000000000E0°,2.818536025877088E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,2.838898930118909E-2∠0.000000000000000E0°,2.838898930118909E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.858846666991062E-2∠0.000000000000000E0°,2.858846666991062E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,2.878351229845801E-2∠0.000000000000000E0°,2.878351229845801E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,2.897442734640933E-2∠0.000000000000000E0°,2.897442734640933E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,2.916480944189177E-2∠0.000000000000000E0°,2.916480944189177E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,2.935298564524186E-2∠0.000000000000000E0°,2.935298564524186E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,2.953534475207845E-2∠0.000000000000000E0°,2.953534475207845E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,2.970774336957592E-2∠0.000000000000000E0°,2.970774336957592E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,2.989251199755591E-2∠0.000000000000000E0°,2.989251199755591E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,3.006707582540784E-2∠0.000000000000000E0°,3.006707582540784E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,3.023078745997568E-2∠0.000000000000000E0°,3.023078745997568E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,3.039364288999531E-2∠0.000000000000000E0°,3.039364288999531E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,3.056237747591190E-2∠0.000000000000000E0°,3.056237747591190E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,3.071255139283277E-2∠0.000000000000000E0°,3.071255139283277E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,3.086976577407351E-2∠0.000000000000000E0°,3.086976577407351E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,3.103056302550077E-2∠0.000000000000000E0°,3.103056302550077E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,3.118358011174086E-2∠0.000000000000000E0°,3.118358011174086E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,3.133698591316369E-2∠0.000000000000000E0°,3.133698591316369E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,3.146767202844312E-2∠0.000000000000000E0°,3.146767202844312E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,3.160849768581906E-2∠0.000000000000000E0°,3.160849768581906E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,3.174542356354832E-2∠0.000000000000000E0°,3.174542356354832E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
