lambda_um,n,k,material,source
0.1879,1.07,1.212,Ag,Johnson and Christy 1972
0.1916,1.1,1.232,Ag,Johnson and Christy 1972
0.1953,1.12,1.255,Ag,Johnson and Christy 1972
0.1993,1.14,1.277,Ag,Johnson and Christy 1972
0.2033,1.15,1.296,Ag,Johnson and Christy 1972
0.2073,1.18,1.312,Ag,Johnson and Christy 1972
0.2119,1.2,1.325,Ag,Johnson and Christy 1972
0.2164,1.22,1.336,Ag,Johnson and Christy 1972
0.2214,1.25,1.342,Ag,Johnson and Christy 1972
0.2262,1.26,1.344,Ag,Johnson and Christy 1972
0.2313,1.28,1.357,Ag,Johnson and Christy 1972
0.2371,1.28,1.367,Ag,Johnson and Christy 1972
0.2426,1.3,1.378,Ag,Johnson and Christy 1972
0.249,1.31,1.389,Ag,Johnson and Christy 1972
0.2551,1.33,1.393,Ag,Johnson and Christy 1972
0.2616,1.35,1.387,Ag,Johnson and Christy 1972
0.2689,1.38,1.372,Ag,Johnson and Christy 1972
0.2761,1.41,1.331,Ag,Johnson and Christy 1972
0.2844,1.41,1.264,Ag,Johnson and Christy 1972
0.2924,1.39,1.161,Ag,Johnson and Christy 1972
0.3009,1.34,0.964,Ag,Johnson and Christy 1972
0.3107,1.13,0.616,Ag,Johnson and Christy 1972
0.3204,0.81,0.392,Ag,Johnson and Christy 1972
0.3315,0.17,0.829,Ag,Johnson and Christy 1972
0.3425,0.14,1.142,Ag,Johnson and Christy 1972
0.3542,0.1,1.419,Ag,Johnson and Christy 1972
0.3679,0.07,1.657,Ag,Johnson and Christy 1972
0.3815,0.05,1.864,Ag,Johnson and Christy 1972
0.3974,0.05,2.07,Ag,Johnson and Christy 1972
0.4133,0.05,2.275,Ag,Johnson and Christy 1972
0.4305,0.04,2.462,Ag,Johnson and Christy 1972
0.4509,0.04,2.657,Ag,Johnson and Christy 1972
0.4714,0.05,2.869,Ag,Johnson and Christy 1972
0.4959,0.05,3.093,Ag,Johnson and Christy 1972
0.5209,0.05,3.324,Ag,Johnson and Christy 1972
0.5486,0.06,3.586,Ag,Johnson and Christy 1972
0.5821,0.05,3.858,Ag,Johnson and Christy 1972
0.6168,0.06,4.152,Ag,Johnson and Christy 1972
0.6595,0.05,4.483,Ag,Johnson and Christy 1972
0.7045,0.04,4.838,Ag,Johnson and Christy 1972
0.756,0.03,5.242,Ag,Johnson and Christy 1972
0.8211,0.04,5.727,Ag,Johnson and Christy 1972
0.892,0.04,6.312,Ag,Johnson and Christy 1972
0.984,0.04,6.992,Ag,Johnson and Christy 1972
1.088,0.04,7.795,Ag,Johnson and Christy 1972
1.216,0.09,8.828,Ag,Johnson and Christy 1972
1.393,0.13,10.1,Ag,Johnson and Christy 1972
1.61,0.15,11.85,Ag,Johnson and Christy 1972
1.937,0.24,14.08,Ag,Johnson and Christy 1972
