lambda_um,n,k,material,source
0.2,1.91270941,0,Al2O3,Malitson 1962 ordinary ray
0.21,1.89368284,0,Al2O3,Malitson 1962 ordinary ray
0.22,1.87816582,0,Al2O3,Malitson 1962 ordinary ray
0.23,1.86529125,0,Al2O3,Malitson 1962 ordinary ray
0.24,1.85445659,0,Al2O3,Malitson 1962 ordinary ray
0.25,1.84522927,0,Al2O3,Malitson 1962 ordinary ray
0.26,1.83729027,0,Al2O3,Malitson 1962 ordinary ray
0.27,1.83039903,0,Al2O3,Malitson 1962 ordinary ray
0.28,1.82437064,0,Al2O3,Malitson 1962 ordinary ray
0.29,1.81906061,0,Al2O3,Malitson 1962 ordinary ray
0.3,1.81435442,0,Al2O3,Malitson 1962 ordinary ray
0.31,1.81016016,0,Al2O3,Malitson 1962 ordinary ray
0.32,1.80640324,0,Al2O3,Malitson 1962 ordinary ray
0.33,1.80302252,0,Al2O3,Malitson 1962 ordinary ray
0.34,1.79996741,0,Al2O3,Malitson 1962 ordinary ray
0.35,1.79719575,0,Al2O3,Malitson 1962 ordinary ray
0.36,1.79467213,0,Al2O3,Malitson 1962 ordinary ray
0.37,1.79236658,0,Al2O3,Malitson 1962 ordinary ray
0.38,1.79025361,0,Al2O3,Malitson 1962 ordinary ray
0.39,1.78831141,0,Al2O3,Malitson 1962 ordinary ray
0.4,1.7865212,0,Al2O3,Malitson 1962 ordinary ray
0.41,1.78486677,0,Al2O3,Malitson 1962 ordinary ray
0.42,1.78333401,0,Al2O3,Malitson 1962 ordinary ray
0.43,1.78191062,0,Al2O3,Malitson 1962 ordinary ray
0.44,1.78058584,0,Al2O3,Malitson 1962 ordinary ray
0.45,1.7793502,0,Al2O3,Malitson 1962 ordinary ray
0.46,1.77819535,0,Al2O3,Malitson 1962 ordinary ray
0.47,1.77711388,0,Al2O3,Malitson 1962 ordinary ray
0.48,1.77609925,0,Al2O3,Malitson 1962 ordinary ray
0.49,1.77514559,0,Al2O3,Malitson 1962 ordinary ray
0.5,1.77424768,0,Al2O3,Malitson 1962 ordinary ray
0.51,1.77340086,0,Al2O3,Malitson 1962 ordinary ray
0.52,1.77260091,0,Al2O3,Malitson 1962 ordinary ray
0.53,1.77184407,0,Al2O3,Malitson 1962 ordinary ray
0.54,1.77112691,0,Al2O3,Malitson 1962 ordinary ray
0.55,1.77044635,0,Al2O3,Malitson 1962 ordinary ray
0.56,1.76979961,0,Al2O3,Malitson 1962 ordinary ray
0.57,1.76918414,0,Al2O3,Malitson 1962 ordinary ray
0.58,1.76859765,0,Al2O3,Malitson 1962 ordinary ray
0.59,1.76803801,0,Al2O3,Malitson 1962 ordinary ray
0.6,1.76750333,0,Al2O3,Malitson 1962 ordinary ray
0.61,1.76699183,0,Al2O3,Malitson 1962 ordinary ray
0.62,1.76650192,0,Al2O3,Malitson 1962 ordinary ray
0.63,1.76603212,0,Al2O3,Malitson 1962 ordinary ray
0.64,1.76558106,0,Al2O3,Malitson 1962 ordinary ray
0.65,1.76514751,0,Al2O3,Malitson 1962 ordinary ray
0.66,1.76473032,0,Al2O3,Malitson 1962 ordinary ray
0.67,1.76432842,0,Al2O3,Malitson 1962 ordinary ray
0.68,1.76394083,0,Al2O3,Malitson 1962 ordinary ray
0.69,1.76356664,0,Al2O3,Malitson 1962 ordinary ray
