lambda_um,n,k,material,source
0.1879,1.28,1.188,Au,Johnson and Christy 1972
0.1916,1.32,1.203,Au,Johnson and Christy 1972
0.1953,1.34,1.226,Au,Johnson and Christy 1972
0.1993,1.33,1.251,Au,Johnson and Christy 1972
0.2033,1.33,1.277,Au,Johnson and Christy 1972
0.2073,1.3,1.304,Au,Johnson and Christy 1972
0.2119,1.3,1.35,Au,Johnson and Christy 1972
0.2164,1.3,1.387,Au,Johnson and Christy 1972
0.2214,1.3,1.427,Au,Johnson and Christy 1972
0.2262,1.31,1.46,Au,Johnson and Christy 1972
0.2313,1.3,1.497,Au,Johnson and Christy 1972
0.2371,1.32,1.536,Au,Johnson and Christy 1972
0.2426,1.32,1.577,Au,Johnson and Christy 1972
0.249,1.33,1.631,Au,Johnson and Christy 1972
0.2551,1.33,1.688,Au,Johnson and Christy 1972
0.2616,1.35,1.749,Au,Johnson and Christy 1972
0.2689,1.38,1.803,Au,Johnson and Christy 1972
0.2761,1.43,1.847,Au,Johnson and Christy 1972
0.2844,1.47,1.869,Au,Johnson and Christy 1972
0.2924,1.49,1.878,Au,Johnson and Christy 1972
0.3009,1.53,1.889,Au,Johnson and Christy 1972
0.3107,1.53,1.893,Au,Johnson and Christy 1972
0.3204,1.54,1.898,Au,Johnson and Christy 1972
0.3315,1.48,1.883,Au,Johnson and Christy 1972
0.3425,1.48,1.871,Au,Johnson and Christy 1972
0.3542,1.5,1.866,Au,Johnson and Christy 1972
0.3679,1.48,1.895,Au,Johnson and Christy 1972
0.3815,1.46,1.933,Au,Johnson and Christy 1972
0.3974,1.47,1.952,Au,Johnson and Christy 1972
0.4133,1.46,1.958,Au,Johnson and Christy 1972
0.4305,1.45,1.948,Au,Johnson and Christy 1972
0.4509,1.38,1.914,Au,Johnson and Christy 1972
0.4714,1.31,1.849,Au,Johnson and Christy 1972
0.4959,1.04,1.833,Au,Johnson and Christy 1972
0.5209,0.62,2.081,Au,Johnson and Christy 1972
0.5486,0.43,2.455,Au,Johnson and Christy 1972
0.5821,0.29,2.863,Au,Johnson and Christy 1972
0.6168,0.21,3.272,Au,Johnson and Christy 1972
0.6595,0.14,3.697,Au,Johnson and Christy 1972
0.7045,0.13,4.103,Au,Johnson and Christy 1972
0.756,0.14,4.542,Au,Johnson and Christy 1972
0.8211,0.16,5.083,Au,Johnson and Christy 1972
0.892,0.17,5.663,Au,Johnson and Christy 1972
0.984,0.22,6.35,Au,Johnson and Christy 1972
1.088,0.27,7.15,Au,Johnson and Christy 1972
1.216,0.35,8.145,Au,Johnson and Christy 1972
1.393,0.43,9.519,Au,Johnson and Christy 1972
1.61,0.56,11.21,Au,Johnson and Christy 1972
1.937,0.92,13.78,Au,Johnson and Christy 1972
