lambda_um,n,k,material,source
0.2,1.42308862,0,MgF2,Dodge 1984 ordinary ray
0.21,1.41753852,0,MgF2,Dodge 1984 ordinary ray
0.22,1.41291133,0,MgF2,Dodge 1984 ordinary ray
0.23,1.40900485,0,MgF2,Dodge 1984 ordinary ray
0.24,1.40567107,0,MgF2,Dodge 1984 ordinary ray
0.25,1.40279916,0,MgF2,Dodge 1984 ordinary ray
0.26,1.40030463,0,MgF2,Dodge 1984 ordinary ray
0.27,1.39812192,0,MgF2,Dodge 1984 ordinary ray
0.28,1.39619948,0,MgF2,Dodge 1984 ordinary ray
0.29,1.39449619,0,MgF2,Dodge 1984 ordinary ray
0.3,1.39297895,0,MgF2,Dodge 1984 ordinary ray
0.31,1.39162078,0,MgF2,Dodge 1984 ordinary ray
0.32,1.39039952,0,MgF2,Dodge 1984 ordinary ray
0.33,1.3892968,0,MgF2,Dodge 1984 ordinary ray
0.34,1.38829728,0,MgF2,Dodge 1984 ordinary ray
0.35,1.38738805,0,MgF2,Dodge 1984 ordinary ray
0.36,1.3865582,0,MgF2,Dodge 1984 ordinary ray
0.37,1.38579843,0,MgF2,Dodge 1984 ordinary ray
0.38,1.38510079,0,MgF2,Dodge 1984 ordinary ray
0.39,1.38445841,0,MgF2,Dodge 1984 ordinary ray
0.4,1.38386539,0,MgF2,Dodge 1984 ordinary ray
0.41,1.38331657,0,MgF2,Dodge 1984 ordinary ray
0.42,1.38280746,0,MgF2,Dodge 1984 ordinary ray
0.43,1.38233414,0,MgF2,Dodge 1984 ordinary ray
0.44,1.38189316,0,MgF2,Dodge 1984 ordinary ray
0.45,1.38148147,0,MgF2,Dodge 1984 ordinary ray
0.46,1.38109638,0,MgF2,Dodge 1984 ordinary ray
0.47,1.38073549,0,MgF2,Dodge 1984 ordinary ray
0.48,1.38039668,0,MgF2,Dodge 1984 ordinary ray
0.49,1.38007804,0,MgF2,Dodge 1984 ordinary ray
0.5,1.37977787,0,MgF2,Dodge 1984 ordinary ray
0.51,1.37949465,0,MgF2,Dodge 1984 ordinary ray
0.52,1.37922701,0,MgF2,Dodge 1984 ordinary ray
0.53,1.3789737,0,MgF2,Dodge 1984 ordinary ray
0.54,1.3787336,0,MgF2,Dodge 1984 ordinary ray
0.55,1.37850571,0,MgF2,Dodge 1984 ordinary ray
0.56,1.37828911,0,MgF2,Dodge 1984 ordinary ray
0.57,1.37808295,0,MgF2,Dodge 1984 ordinary ray
0.58,1.37788648,0,MgF2,Dodge 1984 ordinary ray
0.59,1.377699,0,MgF2,Dodge 1984 ordinary ray
0.6,1.37751988,0,MgF2,Dodge 1984 ordinary ray
0.61,1.37734853,0,MgF2,Dodge 1984 ordinary ray
0.62,1.37718443,0,MgF2,Dodge 1984 ordinary ray
0.63,1.37702708,0,MgF2,Dodge 1984 ordinary ray
0.64,1.37687604,0,MgF2,Dodge 1984 ordinary ray
0.65,1.37673088,0,MgF2,Dodge 1984 ordinary ray
0.66,1.37659123,0,MgF2,Dodge 1984 ordinary ray
0.67,1.37645673,0,MgF2,Dodge 1984 ordinary ray
0.68,1.37632706,0,MgF2,Dodge 1984 ordinary ray
0.69,1.37620191,0,MgF2,Dodge 1984 ordinary ray
0.7,1.37608101,0,MgF2,Dodge 1984 ordinary ray
0.71,1.37596409,0,MgF2,Dodge 1984 ordinary ray
0.72,1.37585091,0,MgF2,Dodge 1984 ordinary ray
0.73,1.37574125,0,MgF2,Dodge 1984 ordinary ray
0.74,1.37563489,0,MgF2,Dodge 1984 ordinary ray
0.75,1.37553165,0,MgF2,Dodge 1984 ordinary ray
0.76,1.37543133,0,MgF2,Dodge 1984 ordinary ray
0.77,1.37533378,0,MgF2,Dodge 1984 ordinary ray
