lambda_um,n,k,material,source
0.21,1.53835762,0,SiO2,Malitson 1965; Tan 1998
0.22,1.52845245,0,SiO2,Malitson 1965; Tan 1998
0.23,1.52023746,0,SiO2,Malitson 1965; Tan 1998
0.24,1.51332761,0,SiO2,Malitson 1965; Tan 1998
0.25,1.50744601,0,SiO2,Malitson 1965; Tan 1998
0.26,1.50238831,0,SiO2,Malitson 1965; Tan 1998
0.27,1.49800036,0,SiO2,Malitson 1965; Tan 1998
0.28,1.49416366,0,SiO2,Malitson 1965; Tan 1998
0.29,1.49078565,0,SiO2,Malitson 1965; Tan 1998
0.3,1.48779298,0,SiO2,Malitson 1965; Tan 1998
0.31,1.48512681,0,SiO2,Malitson 1965; Tan 1998
0.32,1.48273943,0,SiO2,Malitson 1965; Tan 1998
0.33,1.48059172,0,SiO2,Malitson 1965; Tan 1998
0.34,1.47865136,0,SiO2,Malitson 1965; Tan 1998
0.35,1.47689141,0,SiO2,Malitson 1965; Tan 1998
0.36,1.47528926,0,SiO2,Malitson 1965; Tan 1998
0.37,1.47382578,0,SiO2,Malitson 1965; Tan 1998
0.38,1.47248471,0,SiO2,Malitson 1965; Tan 1998
0.39,1.47125214,0,SiO2,Malitson 1965; Tan 1998
0.4,1.47011612,0,SiO2,Malitson 1965; Tan 1998
0.41,1.46906629,0,SiO2,Malitson 1965; Tan 1998
0.42,1.46809369,0,SiO2,Malitson 1965; Tan 1998
0.43,1.46719048,0,SiO2,Malitson 1965; Tan 1998
0.44,1.46634981,0,SiO2,Malitson 1965; Tan 1998
0.45,1.46556567,0,SiO2,Malitson 1965; Tan 1998
0.46,1.46483272,0,SiO2,Malitson 1965; Tan 1998
0.47,1.46414628,0,SiO2,Malitson 1965; Tan 1998
0.48,1.46350217,0,SiO2,Malitson 1965; Tan 1998
0.49,1.46289668,0,SiO2,Malitson 1965; Tan 1998
0.5,1.46232649,0,SiO2,Malitson 1965; Tan 1998
0.51,1.46178862,0,SiO2,Malitson 1965; Tan 1998
0.52,1.46128041,0,SiO2,Malitson 1965; Tan 1998
0.53,1.46079946,0,SiO2,Malitson 1965; Tan 1998
0.54,1.4603436,0,SiO2,Malitson 1965; Tan 1998
0.55,1.45991089,0,SiO2,Malitson 1965; Tan 1998
0.56,1.45949954,0,SiO2,Malitson 1965; Tan 1998
0.57,1.45910794,0,SiO2,Malitson 1965; Tan 1998
0.58,1.45873464,0,SiO2,Malitson 1965; Tan 1998
0.59,1.4583783,0,SiO2,Malitson 1965; Tan 1998
0.6,1.4580377,0,SiO2,Malitson 1965; Tan 1998
0.61,1.45771173,0,SiO2,Malitson 1965; Tan 1998
0.62,1.45739937,0,SiO2,Malitson 1965; Tan 1998
0.63,1.45709969,0,SiO2,Malitson 1965; Tan 1998
0.64,1.45681182,0,SiO2,Malitson 1965; Tan 1998
0.65,1.45653497,0,SiO2,Malitson 1965; Tan 1998
0.66,1.45626842,0,SiO2,Malitson 1965; Tan 1998
0.67,1.4560115,0,SiO2,Malitson 1965; Tan 1998
0.68,1.45576357,0,SiO2,Malitson 1965; Tan 1998
0.69,1.45552407,0,SiO2,Malitson 1965; Tan 1998
0.7,1.45529247,0,SiO2,Malitson 1965; Tan 1998
0.71,1.45506826,0,SiO2,Malitson 1965; Tan 1998
0.72,1.454851,0,SiO2,Malitson 1965; Tan 1998
0.73,1.45464025,0,SiO2,Malitson 1965; Tan 1998
0.74,1.45443562,0,SiO2,Malitson 1965; Tan 1998
0.75,1.45423674,0,SiO2,Malitson 1965; Tan 1998
0.76,1.45404326,0,SiO2,Malitson 1965; Tan 1998
0.77,1.45385486,0,SiO2,Malitson 1965; Tan 1998
0.78,1.45367125,0,SiO2,Malitson 1965; Tan 1998
0.79,1.45349213,0,SiO2,Malitson 1965; Tan 1998
0.8,1.45331725,0,SiO2,Malitson 1965; Tan 1998
0.81,1.45314637,0,SiO2,Malitson 1965; Tan 1998
0.82,1.45297924,0,SiO2,Malitson 1965; Tan 1998
0.83,1.45281565,0,SiO2,Malitson 1965; Tan 1998
0.84,1.45265539,0,SiO2,Malitson 1965; Tan 1998
0.85,1.45249829,0,SiO2,Malitson 1965; Tan 1998
0.86,1.45234414,0,SiO2,Malitson 1965; Tan 1998
0.87,1.45219279,0,SiO2,Malitson 1965; Tan 1998
0.88,1.45204408,0,SiO2,Malitson 1965; Tan 1998
0.89,1.45189785,0,SiO2,Malitson 1965; Tan 1998
0.9,1.45175396,0,SiO2,Malitson 1965; Tan 1998
0.91,1.45161227,0,SiO2,Malitson 1965; Tan 1998
0.92,1.45147266,0,SiO2,Malitson 1965; Tan 1998
0.93,1.45133501,0,SiO2,Malitson 1965; Tan 1998
0.94,1.4511992,0,SiO2,Malitson 1965; Tan 1998
0.95,1.45106513,0,SiO2,Malitson 1965; Tan 1998
0.96,1.45093269,0,SiO2,Malitson 1965; Tan 1998
0.97,1.45080179,0,SiO2,Malitson 1965; Tan 1998
0.98,1.45067234,0,SiO2,Malitson 1965; Tan 1998
0.99,1.45054424,0,SiO2,Malitson 1965; Tan 1998
1,1.45041741,0,SiO2,Malitson 1965; Tan 1998
1.01,1.45029178,0,SiO2,Malitson 1965; Tan 1998
1.02,1.45016727,0,SiO2,Malitson 1965; Tan 1998
1.03,1.45004381,0,SiO2,Malitson 1965; Tan 1998
1.04,1.44992132,0,SiO2,Malitson 1965; Tan 1998
1.05,1.44979976,0,SiO2,Malitson 1965; Tan 1998
1.06,1.44967905,0,SiO2,Malitson 1965; Tan 1998
1.07,1.44955913,0,SiO2,Malitson 1965; Tan 1998
1.08,1.44943996,0,SiO2,Malitson 1965; Tan 1998
1.09,1.44932147,0,SiO2,Malitson 1965; Tan 1998
1.1,1.44920361,0,SiO2,Malitson 1965; Tan 1998
1.11,1.44908634,0,SiO2,Malitson 1965; Tan 1998
1.12,1.44896961,0,SiO2,Malitson 1965; Tan 1998
1.13,1.44885337,0,SiO2,Malitson 1965; Tan 1998
1.14,1.44873758,0,SiO2,Malitson 1965; Tan 1998
1.15,1.44862221,0,SiO2,Malitson 1965; Tan 1998
1.16,1.4485072,0,SiO2,Malitson 1965; Tan 1998
1.17,1.44839253,0,SiO2,Malitson 1965; Tan 1998
1.18,1.44827816,0,SiO2,Malitson 1965; Tan 1998
1.19,1.44816404,0,SiO2,Malitson 1965; Tan 1998
1.2,1.44805016,0,SiO2,Malitson 1965; Tan 1998
1.21,1.44793648,0,SiO2,Malitson 1965; Tan 1998
1.22,1.44782296,0,SiO2,Malitson 1965; Tan 1998
1.23,1.44770958,0,SiO2,Malitson 1965; Tan 1998
1.24,1.44759631,0,SiO2,Malitson 1965; Tan 1998
1.25,1.44748312,0,SiO2,Malitson 1965; Tan 1998
1.26,1.44736999,0,SiO2,Malitson 1965; Tan 1998
1.27,1.44725689,0,SiO2,Malitson 1965; Tan 1998
1.28,1.44714379,0,SiO2,Malitson 1965; Tan 1998
1.29,1.44703068,0,SiO2,Malitson 1965; Tan 1998
1.3,1.44691753,0,SiO2,Malitson 1965; Tan 1998
1.31,1.44680432,0,SiO2,Malitson 1965; Tan 1998
1.32,1.44669102,0,SiO2,Malitson 1965; Tan 1998
1.33,1.44657763,0,SiO2,Malitson 1965; Tan 1998
1.34,1.44646411,0,SiO2,Malitson 1965; Tan 1998
1.35,1.44635045,0,SiO2,Malitson 1965; Tan 1998
1.36,1.44623664,0,SiO2,Malitson 1965; Tan 1998
1.37,1.44612264,0,SiO2,Malitson 1965; Tan 1998
1.38,1.44600846,0,SiO2,Malitson 1965; Tan 1998
1.39,1.44589406,0,SiO2,Malitson 1965; Tan 1998
1.4,1.44577944,0,SiO2,Malitson 1965; Tan 1998
1.41,1.44566458,0,SiO2,Malitson 1965; Tan 1998
1.42,1.44554946,0,SiO2,Malitson 1965; Tan 1998
1.43,1.44543407,0,SiO2,Malitson 1965; Tan 1998
1.44,1.4453184,0,SiO2,Malitson 1965; Tan 1998
1.45,1.44520243,0,SiO2,Malitson 1965; Tan 1998
1.46,1.44508615,0,SiO2,Malitson 1965; Tan 1998
1.47,1.44496954,0,SiO2,Malitson 1965; Tan 1998
1.48,1.4448526,0,SiO2,Malitson 1965; Tan 1998
1.49,1.44473531,0,SiO2,Malitson 1965; Tan 1998
1.5,1.44461766,0,SiO2,Malitson 1965; Tan 1998
