lambda_um,n,k,material,source
0.43,2.87169845,0,TiO2,Devore 1951 ordinary ray
0.44,2.84032695,0,TiO2,Devore 1951 ordinary ray
0.45,2.81256911,0,TiO2,Devore 1951 ordinary ray
0.46,2.78784887,0,TiO2,Devore 1951 ordinary ray
0.47,2.76570622,0,TiO2,Devore 1951 ordinary ray
0.48,2.74576932,0,TiO2,Devore 1951 ordinary ray
0.49,2.7277343,0,TiO2,Devore 1951 ordinary ray
0.5,2.71135035,0,TiO2,Devore 1951 ordinary ray
0.51,2.69640864,0,TiO2,Devore 1951 ordinary ray
0.52,2.68273387,0,TiO2,Devore 1951 ordinary ray
0.53,2.67017779,0,TiO2,Devore 1951 ordinary ray
0.54,2.65861421,0,TiO2,Devore 1951 ordinary ray
0.55,2.64793502,0,TiO2,Devore 1951 ordinary ray
0.56,2.63804707,0,TiO2,Devore 1951 ordinary ray
0.57,2.62886969,0,TiO2,Devore 1951 ordinary ray
0.58,2.62033267,0,TiO2,Devore 1951 ordinary ray
0.59,2.61237461,0,TiO2,Devore 1951 ordinary ray
0.6,2.60494161,0,TiO2,Devore 1951 ordinary ray
0.61,2.59798612,0,TiO2,Devore 1951 ordinary ray
0.62,2.59146609,0,TiO2,Devore 1951 ordinary ray
0.63,2.58534416,0,TiO2,Devore 1951 ordinary ray
0.64,2.57958705,0,TiO2,Devore 1951 ordinary ray
0.65,2.57416502,0,TiO2,Devore 1951 ordinary ray
0.66,2.56905139,0,TiO2,Devore 1951 ordinary ray
0.67,2.5642222,0,TiO2,Devore 1951 ordinary ray
0.68,2.55965584,0,TiO2,Devore 1951 ordinary ray
0.69,2.55533278,0,TiO2,Devore 1951 ordinary ray
0.7,2.55123535,0,TiO2,Devore 1951 ordinary ray
0.71,2.54734749,0,TiO2,Devore 1951 ordinary ray
0.72,2.5436546,0,TiO2,Devore 1951 ordinary ray
0.73,2.54014337,0,TiO2,Devore 1951 ordinary ray
0.74,2.53680163,0,TiO2,Devore 1951 ordinary ray
0.75,2.53361826,0,TiO2,Devore 1951 ordinary ray
0.76,2.53058305,0,TiO2,Devore 1951 ordinary ray
0.77,2.52768664,0,TiO2,Devore 1951 ordinary ray
0.78,2.52492041,0,TiO2,Devore 1951 ordinary ray
0.79,2.52227641,0,TiO2,Devore 1951 ordinary ray
0.8,2.51974731,0,TiO2,Devore 1951 ordinary ray
0.81,2.51732634,0,TiO2,Devore 1951 ordinary ray
