lambda_um,irradiance,source
0.28,4.7309e-23,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2805,1.2307e-21,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.281,5.6895e-21,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2815,1.5662e-19,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.282,1.1946e-18,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2825,4.5436e-18,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.283,1.8452e-17,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2835,3.536e-17,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.284,7.267e-16,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2845,2.4856e-15,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.285,8.0142e-15,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2855,4.2613e-14,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.286,1.3684e-13,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2865,8.3823e-13,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.287,2.7367e-12,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2875,1.0903e-11,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.288,6.2337e-11,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2885,1.7162e-10,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.289,5.6265e-10,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2895,2.0749e-09,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.29,6.0168e-09,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2905,1.3783e-08,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.291,3.5052e-08,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2915,1.0913e-07,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.292,2.683e-07,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2925,4.2685e-07,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.293,8.6466e-07,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2935,2.2707e-06,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.294,4.1744e-06,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2945,6.5911e-06,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.295,1.229e-05,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2955,2.7826e-05,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.296,4.7904e-05,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2965,7.1345e-05,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.297,9.68e-05,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2975,0.00018608,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.298,0.00028988,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2985,0.00035789,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.299,0.00049211,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.2995,0.00086068,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3,0.0010205,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3005,0.001245,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.301,0.00193,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3015,0.0026914,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.302,0.0029209,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3025,0.004284,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.303,0.0070945,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3035,0.0089795,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.304,0.0094701,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3045,0.011953,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.305,0.016463,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3055,0.018719,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.306,0.018577,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3065,0.021108,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.307,0.027849,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3075,0.035635,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.308,0.037837,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3085,0.04143,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.309,0.040534,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3095,0.043306,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.31,0.050939,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3105,0.06554,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.311,0.082922,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3115,0.08408,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.312,0.093376,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3125,0.098984,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.313,0.10733,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3135,0.10757,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.314,0.11969,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3145,0.1306,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.315,0.13625,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3155,0.11838,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.316,0.12348,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3165,0.15036,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.317,0.17158,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3175,0.18245,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.318,0.17594,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3185,0.18591,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.319,0.2047,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3195,0.19589,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.32,0.20527,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3205,0.24525,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.321,0.25024,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3215,0.23843,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.322,0.22203,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3225,0.21709,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.323,0.21226,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3235,0.24861,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.324,0.27537,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3245,0.28321,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.325,0.27894,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3255,0.32436,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.326,0.3812,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3265,0.40722,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
